20
18
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,34,34,34,34,34,34,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,53,54,42,42,42,53,},
{22,22,22,22,18,18,18,18,18,18,22,22,22,22,65,66,42,42,42,65,},
{22,22,22,22,17,17,17,17,17,17,22,22,22,22,47,47,47,47,47,47,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,51,51,51,51,51,51,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,101,101,101,101,101,101,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,77,77,77,77,77,78,},
{22,22,22,22,22,22,22,22,0,18,2,22,22,22,118,140,140,140,119,90,},
{22,22,22,22,22,22,22,22,12,30,14,22,22,22,129,120,118,119,127,90,},
{22,22,22,22,22,22,22,22,24,25,26,22,22,22,118,119,130,131,127,90,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,130,125,119,116,131,90,},
{22,22,22,22,22,22,22,22,22,22,22,22,22,22,28,130,131,28,28,90,},
{108,108,108,108,108,108,108,108,108,108,108,108,108,108,28,28,28,28,28,90,},
{101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,},
{10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,},
{34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,},
{63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,},
{113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,},
